ALGUM COISA TENTAR	Vamos tentar alguma coisa!
ESSENCIAL COMO TRABALHO CAPAZ ECONÓMICO PONTO ESTE PERMITIR DEFINIR INVESTIMENTO CUSTOS DINHEIRO DETALHE MAIS ASSOCIAR LHES FALAR PARTICULAR CUSTO INAÇÃO QUAL MINISTRO LUSA FRISAR MULHER DECLARAÇÃO	Um trabalho como este permite essencialmente ser capaz de definir, do ponto de vista económico e financeiro, de que investimento estamos a falar com mais detalhe, que custos é que lhes associam e muito particularmente qual é o custo da inação, frisou o ministro, em declarações à Lusa.
TAMBÉM JOÃO PEDRO MATOS FERNANDES VULNERABILIDADES PRECISAR TERRITÓRIO VÁRIAS PORTUGUÊS PORTUGUÊS DESERTIFICAÇÃO MAR LITORAL PORTUGUÊS	João Pedro Matos Fernandes precisou também que as vulnerabilidades do território são várias, desde a seca, risco de desertificação e avanços do mar no litoral português.
TODO ESSE CONHECIMENTO PEGAR UMA VEZ QUE 2100 ANO ANO ACORDO PARIS REFERIR DIZER CONSTAR	Vamos pegar todo esse conhecimento e vamos quantificá-lo, disse, referindo que são projetos para 80 anos, uma vez que 2100 é o ano máximo que consta do acordo de Paris.
ESTUDO MINISTRO 2023 FAZER ACRESCENTAR MAS DEFINIR O CENÁRIOS CUSTOS INAÇÃO PODER NECESSIDADE NEUTRO INVESTIMENTO 2050 CARBONO MESMO ESSE CUSTO 2100 PROJETANDO	O ministro acrescentou que o estudo é feito até 2023, mas vai definir cenários diversos para o que podem ser os custos da inação e as necessidades de investimento para Portugal ser neutro em carbono em 2050 e projetando esses mesmos custos até 2100.
TAMBÉM ENTIDADE JOSÉ GOMES MENDES CERIMÓNIA DIREÇÃO GERAL DO TERRITÓRIO SECRETÁRIO ESTADO DO PLANEAMENTO PRESENÇA MECANISMO PROJETO DECORRER CONTAR TUTELAR FINANCIAR	Na cerimónia, que decorreu na Direção-Geral do Território (DGT), contou também com a presença do Secretário de Estado do Planeamento, José Gomes Mendes, entidade que tutela o mecanismo que financia o projeto.
SE VAGA ESPECIALISTAS INFEÇÃO CORONAVÍRUS PODER PORTUGAL JOVENS EVITAR DEFENDER COMPARATIVO PRÉ COVID SOCIEDADE GERAL CONTACTOS SEU TEMPO ELES REDUZIR SE ASSINTOMÁTICOS CASOS	Especialistas defendem que a segunda vaga de infeção do novo coronavírus poderá ser evitada em Portugal se os jovens e a sociedade em geral reduzirem os seus contactos comparativamente ao tempo pré-covid, e se os casos assintomáticos forem controlados.
REUNIÃO 0 EVOLUÇÃO PORTUGAL PERITO POLÍTICO JUNTAR PARCEIROS SOCIAIS HOJE MANUEL DO CARMO GOMES MODELO DECORRER PORTO FACULDACIÊNCIAS DA UNIVERSIDALISBOA 0 0 0 0 VAGA 0 PORTUGAL EVITAR 0	Numa reunião sobre a evolução da covid-19 em Portugal, que junta peritos, políticos e parceiros sociais e que decorreu hoje no Porto, Manuel do Carmo Gomes, da Faculdade de Ciências da Universidade de Lisboa afirmou ser possível, tendo por base modelos matemáticos, evitar uma segunda vaga da covid-19 em Portugal.
REABERTURA ESCOLAS SEGUIMENTO MEDIDAS CONFINAMENTO RELAXAMENTO PROPENSÃO DOIS ONDA TER ORIGINAR MAS FATALIDADE ONDA HAVER NOTICIAR COISA INEVITÁVEL SER NÃO ESPECIALISTA DIZER ESTIMAR O EVITAR CONSEGUIR FAZER DIZER PODER (NÃO)	A reabertura das escolas, no seguimento das medidas de relaxamento do confinamento, tem uma grande propensão para originar uma segunda onda, mas há uma boa noticia que é a de que a segunda onda não é uma fatalidade, não é uma coisa inevitável e conseguimos até estimar o que podemos fazer para a evitar, disse o especialista.
PRECISO MODELO ELE EVITAR VAGA CONTACTO CONTACTO ESCOLA APRESENTAR	De acordo com os modelos matemáticos apresentados, para que se evite uma segunda vaga do novo coronavírus em Portugal é preciso ter em conta duas circunstâncias: os contactos na sociedade e os contactos nas escolas.
AQUANDO PROBABILIDADE CONTACTO ÉPOCA RELAÇÃO RELAÇÃO MANUEL DO CARMO GOMES REABERTURA ESCOLA ESCOLA BAIXO ONDA	Segundo Manuel do Carmo Gomes, se aquando da reabertura das escolas os contactos nas escolas forem reduzidos em 30% em relação à época pré-covid, a probabilidade de uma segunda onda é muito baixa.
TAMBÉM QUE CONTACTOS UMA VEZ QUE NO ENTANTO ESPECIALISTA PRÉ COVID JOVENS ESCOLAS EVITAR ALTERAR BASTAR (NÃO)	No entanto, para evitar o surgimento da segunda vaga, o especialista defendeu que será também necessário que os contactos na sociedade sejam reduzidos para metade daquilo que era o pré-covid, uma vez que não basta alterar o comportamento dos jovens nas escolas.
POSITIVO ASPETO HAVER	Há um aspeto positivo
ONDA MODELO INDICAÇÃO POSSÍVEL POSSÍVEL PREVER POSSÍVEL POSSÍVEL ONDA ESPECIALISTA EVITAR REFERIR FAZER TER	O modelo prevê que é possível evitar a segunda onda, dá-nos uma indicação daquilo que temos de fazer para evitar a segunda onda, referiu o especialista.
REGRESSO HENRIQUE BARROS INTERVENÇÃO ONDAS POSITIVOS POSITIVOS POSITIVOS POSITIVOS POSITIVOS TEMA POSITIVOS POSITIVOS CASOS POSITIVOS CASOS EXISTIR PRESTAR SUBLINHAR (NÃO)	Numa intervenção com o tema Um regresso seguro à escola, Henrique Barros, presidente do Instituto de Saúde Pública da Universidade do Porto (ISPUP) sublinhou que independentemente de virem a existir ondas, não basta prestar atenção apenas aos casos positivos, mas também aos casos assintomáticos.
HENRIQUE BARROS AINDA QUE DIZER APESAR ATUAL VALORES RT ABERTURA ESPECTÁVEL ÍNDICE ESCOLAS ÍNDICE TRANSMISSIBILIDADE MAIS DO QUE REGISTAR AUMENTAR (NÃO)	Henrique Barros disse ainda que apesar da abertura das escolas, é espectável que o índice Rt (índice de transmissibilidade) não aumente mais do que os valores que regista atualmente.
TAMBÉM NOMEADO POSSÍVEL SAÚDE SITUAÇÃO SITUAÇÃO SITUAÇÃO SITUAÇÃO SITUAÇÃO SITUAÇÃO HENRIQUE BARROS IMPORTANTE HIGIENE CONSIDERAR VER CUIDAR SEGURANÇA CRIANÇAS TRANSMITIR	É possível pensar que seremos capazes de controlar a situação, disse Henrique Barros, considerando também importante a reabertura das escolas, nomeadamente, para que informações do ponto vista da saúde, cuidados de higiene e de segurança sejam transmitidos às crianças e jovens.
CARLA NUNES DA ESCOLA NACIONAL SAÚPÚBLICA SESSÃO DADO REABERTURA ESCOLA MAIO APRESENTAR EUROPEUS HETEROGENEIDADE OUTRO PAÍSES SETEMBRO PLANOS SEGURANÇA AFIRMAR GRANDE APENAS QUE ESCOLA CONSIDERAR HIGIENE 1 SETOR ABRIR NÃO SÓ VÁRIOS COMPORTAMENTOS GRUPO CRIANÇAS ELE PROPORCIONAR	Carla Nunes da Escola Nacional de Saúde Pública, que na sessão apresentou dados do período de reabertura das escolas em 18 de maio e em setembro em outros países europeus, afirmou que a heterogeneidade de planos de segurança e de higiene é muito grande, considerando que as escolas são apenas um dos setores que está abrir e que proporciona alterações de comportamentos em vários grupos, não só nas crianças e nos mais jovens.
POR EXEMPLO QUE ESTE AUMENTO SEU OUTRO APRESENTAÇÃO HIGIENE SEGURANÇA VERÃO RECORRER AFIRMAR ATRIBUIR VERIFICAR (NÃO)	Durante a sua apresentação, a especialista, que recorreu a dados de outros países europeus, afirmou que o aumento de casos verificados, por exemplo nos países nórdicos, não pode ser atribuído apenas à reabertura das escolas, mas ao relaxamento das medidas de higiene e segurança neste período de verão.
PROFESSORES PAIS ESCOLAS ESPECIALISTA NECESSIDADE ISSO ENVOLVIMENTO ALUNOS DEFENDER TAMBÉM AUTORIDADES ESTE ESTE ENVOLVIMENTO SAÚDE ANO TER LOCAL ADAPTAR CONSIDERAR	A especialista defendeu por isso a necessidade de envolvimento dos alunos, professores, pais, escolas e autoridades de saúde para este próximo ano letivo, considerando que este envolvimento tem também de ser adaptado localmente.
PARTIDÁRIOS PATRONAIS ENCONTRO PRESIDENTE DA REPÚBLICA MARCELO REBELO SOUSA PRIMEIRO MINISTRO ASSEMBLEIA DA REPÚBLICA PRESIDENTE EDUARDO FERRO RODRIGUES LÍDERES SINDICAIS JUNTAR	O encontro junta o Presidente da República, Marcelo Rebelo de Sousa, o primeiro-ministro, o presidente da Assembleia da República, Eduardo Ferro Rodrigues, líderes partidários, patronais e sindicais.
JÁ PANDEMIA 889.498 0 PELO MENOS MORTO PROVOCAR 196 MAIS 1000000 PESSOA PAÍS ELE INFETOU AFP TERRITÓRIOS BALANÇO AGÊNCIA FRANCÊS FAZER	A pandemia de covid-19 já provocou pelo menos 889.498 mortos e infetou mais de 27,1 milhões de pessoas em 196 países e territórios, segundo um balanço feito pela agência francesa AFP.
COMO PORTUGAL 1.843 RECENTE RECENTE RECENTE RECENTE BOLETIM RECENTE DIREÇÃO GERAL DA SAÚDE MORRER INFETADAS CONFIRMAR	Em Portugal, morreram 1.843 pessoas das 60.507 confirmadas como infetadas, de acordo com o boletim mais recente da Direção-Geral da Saúde.
PASSADO MULHER REUNIÃO SITUAÇÃO 2 MÊS REGRESSO PARCEIRO SOCIAL PORTUGAL EPIDEMIOLÓGICO	Passados dois meses, estão de regresso as reuniões com especialistas, políticos, conselheiros de Estado e parceiros sociais sobre a situação epidemiológica em Portugal
AQUELAS CONHECER MULHER REUNIÃO INFARMED AUDITÓRIO AUTORIDANACIONAL DO MEDICAMENTO CONHECER FICAR REALIZAR DIFERENTE PRODUTOS DA SAÚDE LISBOA FIGURINO VOLTAR	Aquelas que ficaram conhecidas como as reuniões do Infarmed, por se terem realizado no auditório da Autoridade Nacional do Medicamento e Produtos da Saúde, em Lisboa, voltam com um figurino diferente
HOJE LOCAL ENCONTRO FACULDAMEDICINA DA UNIVERSIDADO PORTO DECORRER OU SEJA PARTE ABERTO ABERTO SINAL MULHER TELEVISÃO TRANSMITIR	O local do encontro de hoje decorre na Faculdade de Medicina da Universidade do Porto e a parte expositiva foi aberta, ou seja, transmitida em sinal aberto pelas televisões e pelo canal YouTube do Governo
PARTE DEBATE AINDA ENCERRAMENTO PORTA DECORRER FECHAR	A parte de debate e encerramento, que ainda decorre, são à porta fechada.
QUASE ÚLTIMO ESPECIALISTA VÁRIOS MULHER APRESENTAÇÃO 3 OU PLATAFORMA APLICAÇÃO OU REGISTO CASO FAZER	Os vários especialistas fizeram apresentações, ao longo de quase três horas, sobre a situação da pandemia desde a última reunião no Infarmed, em Lisboa, a 8 de julho, sobre o inquérito serológico a aplicação Stayaway Covid ou a plataforma de registo de casos.
PRIMEIRO MINISTRO ENTRADA AUDITÓRIO FACULDAMEDICINA DIZER REGRESSO TRABALHADORES EMPRESAS JÁ MARTA TEMIDO APROXIMAÇÃO OUTONO MINISTRA SAÚDE PORTAS FRENTE CONTEXTO COMPLEXO REFORÇAR TER	Se à entrada para o auditório da Faculdade de Medicina, o primeiro-ministro, António Costa, disse que estamos num momento crucial devido ao início das aulas, ao regresso de muito trabalhadores às empresas e à aproximação do outono, a ministra da Saúde, Marta Temido, reforçou, já dentro de portas, que temos pela frente um contexto complexo
ALTURA VÁRIOS ONDA PAÍSES EUROPA FALAR COMEÇAR QUE NÚMERO NECESSÁRIO CASOS VIR DISTÂNCIA FÍSICO MEDIDAS AUMENTAR PORQUE HIGIENE MAIS HAVER POSSIBILIDADE CONTÁGIO	Numa altura em que se começa a falar de segunda onda em vários países da Europa e em que o número de casos tem vindo a aumentar em Portugal, António Costa diz que é necessário continuar com as medidas de distância física e higiene porque há mais possibilidade de contágio
PORQUE LADO CONFINAMENTO SABER PESO PÔR TER	Pôs de lado um novo confinamento porque sabemos o brutal peso que tem no emprego e na economia.
LÁ DENTRO TÉCNICOS RESULTADOS ESTUDOS SEU APRESENTAR	Lá dentro, os técnicos foram apresentando os seus resultados e estudos
CADA VEZ PEDRAR QUE INCIDÊNCIA PINTO LEITE SAÚPÚBLICA DA DIREÇÃO GERAL DA SAÚDE CADA VEZ CADA VEZ CADA VEZ CADA VEZ CADA VEZ CADA VEZ CADA VEZ CADA VEZ CADA VEZ CADA VEZ INDIVÍDUO CADA VEZ ANO CADA VEZ ANO DIZER AVANÇAR	Pedro Pinto Leite, especialista em Saúde Pública da Direção-Geral da Saúde (DGS), no que diz respeito aos grupos etários, há um comportamento muito semelhante desde o início da pandemia, sendo que a incidência vai sendo cada vez menor à medida em que avançamos no grupo etário, com exceção dos indivíduos entre os 20 e os 29 anos e nas pessoas com 80 ou mais anos.
FAIXA ETÁRIO 20 MAIOR ANO INCIDÊNCIA 29 LONGO TEMPO APRESENTAR	A faixa etária entre os 20 e os 29 anos apresenta uma maior incidência ao longo do tempo e com uma trajetória crescente entre 17 e 30 de agosto – último relatório quinzenal
PINTO LEITE REFERIR NECESSÁRIO REFORÇAR MÃOS AREJAMENTO ESPAÇOS SER (NÃO)	Pinto Leite referiu que é é necessário reforçar as medidas não farmacológicas, como o uso de máscaras, lavagem das mãos e arejamento dos espaços.
ACORDO DADOS AUSENDA MACHADO INSTITUTO NACIONAL SAÚDR APRESENTAR	De acordo com os dados apresentados por Ausenda Machado, do Instituto Nacional de Saúde Dr
LIGEIRO RICARDO JORGE T NÚMERO R PESSOA CONTAGIAR JULHO 1 AGORA LIGEIRO ESTAR	Ricardo Jorge, o R(t) (número de pessoas que um infetado contagia) está agora em 1,12, em julho estava ligeiramente abaixo de 1
REGIÃO NORTE 1,19 LISBOA VALE DO TEJO 1,07 ESTAR	Sendo que na Região Norte está em 1,19 e em Lisboa e Vale do Tejo em 1,07
MAIOR CENTRO ZONA ÍNDICE TRANSMISSIBILIDADE TER MAS AUSENDA MACHADO ESTE VALOR CASO REGIÃO INCIDÊNCIA INFERIOR 30 DIA	A zona Centro tem o maior índice de transmissibilidade, mas Ausenda Machado sublinhou que nesta região o valor da incidência é inferior a 30 casos por dia
TESTE ESPECIALISTA FIM INSA JUNHO FAZER 1000 SEMANA MOSTRAR DEPOIS EPIDÉMICO ÚLTIMO DECRÉSCIMO AUMENTO PROPORÇÃO SEMANAS CONCORDANTE EVOLUÇÃO HAVER	A especialista do INSA mostrou que, desde o fim de junho, são feitos mais de 90 mil testes por semana e que, depois de um decréscimo, houve um aumento da proporção de positivos concordante com a evolução epidémica nas últimas semanas.
HENRIQUE BARROS CONSELHO NACIONAL SAÚDE PRESIDENTE ESTUDO CASO CONTROLO REALIZAR 1000 PESSOA EXPLICAR INFETADAS OUTRO 1000 INFETADAS (NÃO)	Henrique Barros, presidente do Conselho Nacional de Saúde, explicou o Estudo Caso-Controlo que irá ser realizado com mil pessoas infetadas e outras mil não infetadas
ESTUDO DURAÇÃO 2 MÊS TER ÁREA ABRANGÊNCIA ADMINISTRAÇÃO REGIONAL SAÚLISBOA REALIZAR VALE DO TEJO INTUITO FATORES RISCO INFEÇÃO IDENTIFICAR RELATIVO FATORES CONTRIBUTO DINÂMICA EPIDEMIA ESTIMAR	O estudo terá uma duração de dois meses e irá realizar-se na área de abrangência da Administração Regional de Saúde de Lisboa e Vale do Tejo com o intuito de identificar fatores de risco para a infeção e estimar o contributo relativo destes fatores para a dinâmica da epidemia.
JÁ APLICAÇÃO JOSÉ MANUEL MENDONÇA 1000 PESSOA INSTITUTO ENGENHARIA SISTEMAS DESCARREGAR COMPUTADORES TECNOLOGIA ATRAVÉS QUE CIÊNCIA PESSOA 9 APP REVELAR INFORMAR CONTAMINAR QUE 18 OUTRO LINHA 0 LIGAR	Quanto à aplicação Stayaway Covid, que já foi descarregada por 660 mil pessoas, José Manuel Mendonça, Instituto de Engenharia de Sistemas e Computadores, Tecnologia e Ciência, revelou que nove pessoas informaram através da App que estão contaminadas e que outras 18 ligaram para a Linha SNS24
PELO MENOS APP PROFESSOR ELE FALAR IMPORTÂNCIA STAYAWAY COVID DIZER LOJA APPLE DESCARREGAR OU ISTO É REDE NATA GOOGLE SISTEMA QUERER DESENVOLVER PROGRAMADORES (NÃO)	O professor falou na importância da Stayaway Covid, dizendo Isto não é uma app, pelo menos como as outras que se descarregam na loja da Apple ou da Google — isto é um sistema complexo, é uma rede social, se quisermos, que foi desenvolvida pela nata dos programadores europeus.
FERRAMENTA LUZ DIA MUITAS TER CONTA CONTA CONTA ADESÃO CONTA CÓDIGO FONTE VER	Para a ferramenta ver a luz do dia, foram tidas em conta muitas variáveis, como a privacidade, o consumo de dados, a adesão voluntária e a publicação do código fonte
PESSOAIS DADOS ENVOLVER HAVER (NÃO)	Não há dados pessoais envolvidos
COMPLETO ANONIMATO HAVER	Há anonimato completo
INFETADO O AFETOU NÃO_SABER {NÃO}(headshake)	O infetado não sabe quem o afetou
TODO INTERVENIENTES ANONIMATO HAVER EXPLICAR	Há anonimato de todos os intervenientes, explicou.
VACINAS OUTRO TEMA ESTUDO IR	Outro tema foram as vacinas que estão em estudo
PRESIDENTE 6 FASE EUROPEU EUROPEU EUROPEU INFARMED RUI IVO SANTOS EUROPEU NEGOCIAÇÃO NÍVEL EUROPEU	O presidente do Infarmed, Rui Ivo Santos, acautelou que seis das oito vacinas que estão na fase 3 (a última) já estão a ser alvo de negociação a nível europeu.
PRIMEIRO VACINA NENHUM MULHER SUJEITO AVALIAÇÃO DEPOIS DEPOIS SEGURANÇA EFICÁCIA DISPONIBILIZAR	Nenhuma vacina será disponibilizada sem ter sido sujeita a uma avaliação, primeiro, de segurança e, depois, de eficácia
DADO FASE 3 OXFORD ASTRAZENECA BIONTECH PFIZER MODERNA OUTUBRO ESPERAR	Os dados da fase três da AstraZeneca/Oxford, BioNTech/Pfizer e Moderna são esperados em outubro
PRIMEIRO NENHUMA VACINA EFICÁCIA SUJEITAR DEPOIS DISPONIBILIZAR ATESTAR	Nenhuma vacina será disponibilizada sem ter sido sujeita a uma avaliação, primeiro, de segurança e, depois, de eficácia, atestou.
MARIA JOÃO BRITO HOSPITAL DONA ESTEFÂNIA LISBOA SEGUIR	Seguiu-se Maria João Brito, do Hospital Dona Estefânia, em Lisboa
MÉDICA ESTUDO TRANSMISSÃO CRIANÇAS APRESENTAR ADULTOS ONDE CRIANÇA 0 DIZER TRANSMITIR CASO GRIPE FREQUENTE DISSEMINADOR INFEÇÃO DOMICILIAR (NÃO)	A médica apresentou um estudo sobre a transmissão entre crianças e adultos e disse que a Covid-19 não se transmite como a gripe, onde as crianças são frequentemente o caso índice nos disseminadores de infeção domiciliar e comunitária
SIM ESTUDO ADULTOS MAIS ISSO CONTAGIAR CRIANÇAS DEMONSTRAR QUE RESULTADOS ESTE PODER RECONFORTANTES MULHER DECISÃO REABERTURA ESCOLAS	O estudo demonstra, isso sim, que os adultos contagiam mais as crianças, e que estes resultados podem ser reconfortantes nas decisões sobre a reabertura das escolas
AINDA MARIA JOÃO BRITO TRANSMISSÃO NOTAR 0 PEDIATRIA ENIGMA AÍ QUE PORQUE SIM CRIANÇAS GRIPE TER PODER PODER ENTRADA VÍRUS COMUNIDADE TRANSMITIR ALERTAR	Maria João Brito notou que a transmissão da SARS-Cov-2 em pediatria ainda é um enigma e alertou que com a entrada na gripe sazonal teremos um problema adicional, porque aí sim, as crianças poderão transmitir o vírus na comunidade.
AINDA TRANSMISSÃO 0 PEDIATRIA ENIGMA	A transmissão da SARS-Cov-2 em pediatria ainda é um enigma
ESCOLAS TEMA CARLA NUNES ESPECIALISTA EPIDEMIOLOGIA ESCOLA NACIONAL SAÚPÚBLICA IR	As escolas foram o tema de Carla Nunes, especialista em epidemiologia da Escola Nacional de Saúde Pública
MAIS AMBIENTAR OUTRO ESCOLAS O MUITA PODER GENTE PROPAGAÇÃO OCUPACIONAIS DESCANSAR REPORTAR AMBIENTAR AINDA_NÃO OU DISTÂNCIA DESQUE MEDIDAS DENSIDADES PESSOA LAZER FÍSICO HIGIENE TOMAR ADEQUAR {NÃO}(headshake)	E o que reportou pode descansar muita gente: as escolas provavelmente não serão ambientes de propagação mais eficazes do que outros ambientes ocupacionais ou de lazer com densidades semelhantes de pessoas, desde que as medidas adequadas sejam tomadas (distância física e higiene)
ALIÁS ABERTURA ALUNO 0 ELE RECORDAR ANO 0 ALUNO TRANSMISSIBILIDADE AULA IR ALTERAR NÃO ALUNOS CASA FICAR (NÃO)	Aliás, recordou que a abertura para os alunos do 11º e 12º ano não alterou a transmissibilidade entre os alunos que foram às aulas e os alunos que ficaram em casa.
ONDA SE ESCOLAS CONTACTOS MANUEL CARMO GOMES PROFESSOR EPIDEMIOLOGIA FACULDA PROVÁVEL DOIS SITUAÇÃO MAS APENAS METADE ESSE ONDA CONSEGUIR TERÇO CONTATOS MANTER EVITAR PODER	Para Manuel Carmo Gomes, professor de Epidemiologia na Faculda se as escolas reabrirem com contactos inter-pessoais em situação pré-Covid é provável uma segunda onda, mas se conseguirmos que apenas metade a um terço dos contatos escolares pré-Covid forem mantidos, essa segunda onda pode ser evitada
NO ENTANTO SE RELAXAMENTO SITUAÇÃO CONTATOS SOCIEDADE RELAXAMENTO SOCIEDADE COMPENSAR AVISAR DOIS ONDA HAVER (NÃO)	No entanto, avisa: se o relaxamento dos contatos na sociedade prosseguir após abertura das escolas até à situação pré-covid, não se consegue compensar a transmissão devido ao relaxamento na sociedade e há segunda onda
INVESTIGADOR QUE MULHER VÍDEO CONFERÊNCIA DEVER SALA FALAR VENTILAR NOTAR ESPAÇOS PARTILHAR ESPAÇOS CO-HABITANTES EVITAR FECHAR (NÃO)	O investigador, que falou por vídeo-conferência, notou que se devem ventilar salas e espaços partilhados e evitar espaços fechados com não co-habitantes
REGIMES FLEXIBILIZAÇÃO PRESENCIAL MISTO AULAS INTRODUZIR NÓS TER VIRTUAL ESPAÇOS MAXIMIZAR DISPONIBILIZAR ALARGAR OU HORÁRIOS FUNCIONAMENTO AJUSTAR	Temos de introduzir regimes de flexibilização do regime de aulas: presencial, misto e virtual, além de maximizar os espaços disponibilizados e alargar ou ajustar horários de funcionamento.
HOJE MINISTRA PAÍS SAÚDE AFIRMAR PREPARAR ESCOLA SEGURANÇA ENFRENTAR REGRESSO TAMBÉM INÍCIO PANDEMIA 0 0 RECRUDESCIMENTO VOLVER 6 MÊS EVENTUAL PREPARAR	A ministra da Saúde, Marta Temido, afirmou hoje que o país está preparado para enfrentar o regresso à escola em segurança e que, volvidos seis meses do início da pandemia, está também preparado para um eventual recrudescimento da covid-19.
HOJE AQUILO NOSSO ESCOLA SEGURANÇA CRIANÇAS SUBLINHAR QUERER JOVENS ADULTOS TAMBÉM MELHOR PREPARAR 6 ATRO MÊS	Aquilo que queremos hoje sublinhar é que estamos preparados para enfrentar o regresso à escola em segurança das nossas crianças e jovens adultos, e também estamos melhor preparados há seis meses atras
POUCO EVENTUAL INÍCIO MAIS PASSADO RECRUDESCIMENTO PANDEMIA DOENÇA MARTA TEMIDO ENFRENTAR AFIRMAR	Passaram pouco mais do início da pandemia para enfrentar um eventual recrudescimento da doença, afirmou Marta Temido.
MINISTRA MARGEM REUNIÃO 0 EVOLUÇÃO PORTUGAL PERITO POLÍTICO FALAR JUNTAR AINDA QUE TAL PARCEIROS PORQUE PAÍS PORTO MAIS DIZER POSSÍVEL TER MEIOS EXPERIÊNCIA NATURAL CONHECIMENTO EMBORA CONTEXTO GRANDE EXIGÊNCIA	A ministra, que falava à margem da reunião sobre a evolução da covid-19 em Portugal, que juntou peritos, políticos e parceiros sociais, no Porto, disse ainda que tal será possível porque o país tem mais meios, experiência e conhecimento embora o contexto seja naturalmente de grande exigência.
MAIS CAPACIDADE INTENSIVOS PÚBLICO MAIS ESTE TODO TER CAPACIDADE SUBLINHAR SUBLINHAR TRABALHO RESPOSTAS ATORES SUBLINHAR MARTA TEMIDO PREPARAR LOCALIZAR	Temos mais capacidade de testes, mais capacidade de cuidados intensivos, equipas na saúde pública que estão mais preparadas para estas respostas localizadas em trabalho com todos os atores, sublinhou Marta Temido.
DEPOIS TAMBÉM MARTA TEMIDO QUE LUTA PORTUGAL MINISTRA MINISTRA CAPACIDADE APRENDIZAGEM NOSSO REALÇAR MINISTRA AQUILO FAZER PERMITIR CONTAR INCORPORAR	Depois de uma reunião que, segundo a ministra, permitiu fazer o ponto da situação da evolução da doença em Portugal, Marta Temido realçou também que a luta contra a covid-19 é um processo que vai contar com a capacidade de ir incorporando aquilo que é a nossa aprendizagem.
HOJE ENCONTRO PRIMEIRO IR DEPOIS VERÃO PRIMEIRO PORTO REALIZAR BEM COMO PRESTAR SAIR ACONTECER OUTRAS MULHER REUNIÃO DE PRESIDENTE FERRO RODRIGUES PARTICIPAÇÃO PRESIDENTE DA REPÚBLICA MARCELO REBELO SOUSA E E E E ASSEMBLEIA DA REPÚBLICA FERRO_RODRIGUES E LÍDERES CONTAR	O encontro de hoje foi o primeiro depois do verão e o primeiro a realizar-se no Porto e contou com a participação do Presidente da República, Marcelo Rebelo de Sousa – que saiu sem prestar declarações, ao contrário do que aconteceu em todas as outras reuniões – o primeiro-ministro, António Costa, o presidente da Assembleia da República, Ferro Rodrigues, bem como líderes e representantes partidários, patronais e sindicais.
JÁ PANDEMIA 889.498 0 PELO MENOS MORTO PROVOCAR 196 MAIS 1000000 PESSOA PAÍS ELE INFETOU AFP TERRITÓRIOS BALANÇO AGÊNCIA FRANCÊS FAZER	A pandemia de covid-19 já provocou pelo menos 889.498 mortos e infetou mais de 27,1 milhões de pessoas em 196 países e territórios, segundo um balanço feito pela agência francesa AFP.
COMO PORTUGAL 1.843 RECENTE RECENTE RECENTE RECENTE BOLETIM RECENTE DIREÇÃO GERAL DA SAÚDE MORRER INFETADAS CONFIRMAR	Em Portugal, morreram 1.843 pessoas das 60.507 confirmadas como infetadas, de acordo com o boletim mais recente da Direção-Geral da Saúde.
INFORMAÇÃO TITULAR AQUELE LINHAS COMUNICADO MINISTÉRIO DA JUSTIÇA FRANCISCA VAN DUNEM DIA DOCUMENTO GERAIS AVANÇAR APRESENTAR	A informação foi avançada em comunicado do Ministério da Justiça, cuja titular, Francisca Van Dunem, tinha apresentado naquele dia as linhas gerais do documento
HOJE MINISTÉRIO ESTE COMUNICADO TRABALHO ELABORAÇÃO ESTRATÉGIA SALIENTAR REDUZIR IDENTIFICAR CONSTITUIR	No comunicado de hoje do Ministério salientaram-se sete prioridades para reduzir o fenómeno da corrupção em Portugal, identificadas pelo grupo de trabalho constituído para a elaboração desta estratégia
PASSADO REPRESENTANTES MEMBROS ESTE GRUPO FINAL ANO DECISÃO CONSELHO PREVENÇÃO DA CORRUPÇÃO DIRIGENTES POLÍCIA JUDICIÁRIA PASSADO PASSADO INTEGRAR	Este grupo, criado no final do ano passado, por decisão de Francisca van Dunem, integrou professores de Direito, representantes das magistraturas, membros do Conselho de Prevenção da Corrupção e dirigentes da Polícia Judiciária
PRIMEIRO AQUELAS MELHORAR PRIORIDADES CONHECIMENTO FORMAÇÃO PRÁTICAS INSTITUCIONAIS TRANSPARÊNCIA INTEGRIDADE PREVENÇÃO SEGUIR	A primeira daquelas prioridades é melhorar o conhecimento, a formação e as práticas institucionais em matéria de transparência e integridade, seguida pela prevenção e deteção dos riscos de corrupção no setor público.
ELE SURGIR DEPOIS COMPROMETIMENTO SETOR PREVENÇÃO DETEÇÃO PRIVAR BEM COMO REPRESSÃO CORRUPÇÃO MULHER INSTITUIÇÃO PÚBLICAS ARTICULAÇÃO PRIVAR	Surge depois o comprometimento do setor privado na prevenção, deteção e repressão da corrupção, bem como o reforço da articulação entre instituições públicas e privadas.
QUINTO EFICAZ LEGAIS MELHORIA GARANTIA LUGAR APLICAÇÃO UNIFORME MECANISMOS MECANISMOS MECANISMOS ADEQUAÇÃO EFETIVIDADE PUNIÇÃO MENCIONAR	Em quinto lugar é mencionada a garantia de uma aplicação mais eficaz e uniforme dos mecanismos legais em matéria de repressão da corrupção, a melhoria do tempo de resposta do sistema judicial e certeza da adequação e efetividade da punição.
