Bom dia, Mike.	BOM DIA MIKE
Eu deixei de usar óculos.	EU ÓCULOS USAR DEIXAR
Eu não preciso mais usar óculos.	EU ÓCULOS MAIS USAR PRECISAR (NÃO)
O gelo derreteu.	GELO DERRETER
Isso não me preocupa.	ISSO EU PREOCUPAR (NÃO)
A partida foi cancelada por causa de chuva.	CHUVA PARTIDA CANCELAR
Tom não jantou ontem.	ONTEM TOM JANTAR (NÃO)
Jack não dirige rápido.	JACK RÁPIDO DIRIGIR (NÃO)
Jack nasceu em 10 de agosto.	JACK 10 AGOSTO NASCER
Jack não está aqui.	AQUI JACK (NÃO)
Você não devia falar de Jack pelas costas dele.	VOCÊ JACK COSTAS DELE FALAR DEVER (NÃO)
O menino tocando guitarra é Ken.	MENINO GUITARRA KEN TOCAR
Ambas irmãs são muito bonitas.	MULHER IRMÃO AMBOS BONITAS
As duas irmãs são muito bonitas.	MULHER IRMÃO 2 BONITO
Ele herdou o negócio do seu pai.	ELE NEGÓCIO PAI SEU HERDAR
Betty é uma assassina em série.	BETTY MULHER ASSASSINO SÉRIE
Eu não sou uigur. Eu sou russo.	EU UIGUR EU RUSSO (NÃO)
Tom não corre tão rápido quanto Bill.	QUANTO TOM TÃO RÁPIDO BILL CORRER (NÃO)
Tom cometeu alguns erros no teste.	TOM ALGUM ERROS TESTE COMETER
Nosso chefe de cozinha está muito ocupado hoje.	HOJE CHEFE COZINHA NOSSO OCUPAR
É proibido ler nesta biblioteca.	ESTE LER BIBLIOTECA PROIBIR
Betty matou Jane enquanto ela estava cantando.	BETTY JANE MATAR ENQUANTO CANTAR
George parece ser um bom garoto.	GEORGE PARECER BOM GAROTO
Eu sempre mantive minhas promessas.	SEMPRE EU MEU PROMESSAS MANTER
Você poderia me levar ao hospital, por favor?	{VOCÊ HOSPITAL FAVOR EU LEVAR PODER}(q)
Deram a ela o nome de Alice por causa de sua tia.	NOME ALICE TIO SEU DAR
Chris não tinha um carro para dirigir.	CHRIS CARRO DIRIGIR NÃO_TER {NÃO}(headshake)
Bárbara foi morta por Alister.	MULHER BÁRBARO ALISTER MATAR
Foi Bárbara quem Elister matou.	ELISTER BÁRBARA IR
Alister matou Bárbara.	ALISTER BÁRBARA MATAR
Foi Alistem quem matou Bárbara.	ALISTEM MATAR BÁRBARA IR
Abbott matou Mary.	ABBOTT MARY MATAR
Aaron matou Elizabeth.	AARON ELIZABETH MATAR
Eu não gosto de Alice.	EU ALICE GOSTAR (NÃO)
Eu não vou com a cara de Alice.	EU CARA ALICE IR (NÃO)
Um grande navio pede águas profundas.	GRANDE PROFUNDAS NAVIO ÁGUAS PEDIR
A cavalo dado não se olham os dentes.	CAVALO DENTES DAR OLHAR (NÃO)
Você trocou ruim por péssimo.	VOCÊ MAU RUIM TROCAR
Foi por você que eu vim.	IR EU VOCÊ VIR
Um homem com a barriga cheia acha que ninguém tem fome.	HOMEM ACHA NINGUÉM BARRIGA TER FOME
Por favor espere um pouco.	FAVOR UM POUCO ELE ESPERAR
O que eu deveria comprar?	{O EU COMPRAR DEVER}(q)
Deixe-me ir à loja.	EU LOJA IR DEIXAR
Não tem cerveja aqui.	AQUI CERVEJA ELE NÃO_TER {NÃO}(headshake)
Pode um deus onipotente criar uma pedra tão pesada que até mesmo ele não consegue levantá-la?	{TÃO ONIPOTENTE DEUS ATÉ MESMO ELE PEDRA CRIAR PESAR PODER PODER LEVANTAR CONSEGUIR NÃO}(q)
O médico o aconselhou a diminuir a bebida.	MÉDICO O BEBIDA DIMINUIR ACONSELHAR
Deixe-me cortar as cenouras.	EU CENOURAS CORTAR DEIXAR
Chris derrotou o cavaleiro vampiro!	VAMPIRO CHRIS CAVALEIRO DERROTAR
Chris ganha 7 moedas de ouro!	CHRIS 7 MOEDA OURO GANHAR
Que tipo de comida você tem?	{TIPO VOCÊ COMIDA TER}(q)
"Quem te ajudou?" "Foi Tom."	QUEM TU AJUDAR TOM IR
Quando eu cheguei em casa, Tom estava estudando.	QUANDO EU TOM CASA CHEGAR ESTUDAR
Tom está na porta. Por favor peça para ele entrar.	TOM PORTA PEÇA FAVOR DELE ENTRAR
Chris brandiu sua espada!	CHRIS ESPADA SEU BRANDIR
As pernas dele são longas.	PERNAS LONGAS DELE
Prepare-se para o futuro.	FUTURO ELE PREPARAR
Meus olhos são azuis.	OLHO AZUIS MEU
Me fizeram esperar quase meia hora.	QUASE EU MULHER MEIA HORA ESPERAR FAZER
Eu cheguei bem a tempo de pegar o avião.	BEM EU AVIÃO PEGAR CHEGAR
Ela simplesmente chorou um mar de lágrimas sobre o túmulo de seu pai.	SIMPLESMENTE SEU LÁGRIMAS MAR TÚMULO PAI ELE CHORAR
O que você disse não faz absolutamente nenhum sentido para mim.	ABSOLUTO VOCÊ NENHUM O SENTIDO EU DIZER FAZER (NÃO)
Eu não consigo entender nada do que você disse.	EU VOCÊ NADA DO QUE DIZER ENTENDER CONSEGUIR (NÃO)
Eu não entendo o que você está dizendo.	EU VOCÊ O DIZER ENTENDER (NÃO)
Eu não aguento aquele barulho.	EU AQUELE BARULHO AGUENTAR (NÃO)
É melhor eu ir logo dormir.	MELHOR EU LOGO DORMIR
Nós só fazemos comida Uigur.	SÓ NÓS UIGUR COMER FAZER
Voltarei às 6 e meia.	6 MEIO EU VOLTAR
Os japoneses fazem três refeições por dia.	JAPONÊS 3 MULHER REFEIÇÃO DIA FAZER
Todos os dois estudantes passaram em todos seus testes.	TODO ESTUDANTE TODO SEU 2 TESTE PASSADO
Ambos os estudantes foram aprovados em todos seus testes.	AMBOS ESTUDANTES TODO TESTES SEU APROVAR
Eu não entendi nada do que ele disse.	EU ELE NADA DO QUE DIZER ENTENDER (NÃO)
Estes sapatos são dela.	SAPATOS ESTE
Ele não tem nem ideia de como essa reunião é importante.	ELE NÃO_TER NEM COMO IDEIA ESSE REUNIÃO IMPORTANTE {NÃO}(headshake)
Ele se ofende fácil.	ELE FÁCIL OFENDER
Eu fiz uma boneca para Ann.	EU BONECA ANN FAZER
Eu dei muito trabalho a ele.	EU TRABALHO DELE DAR
Eu causei muitos problemas para ele.	EU MUITOS PROBLEMA DELE CAUSAR
Ele perdeu o emprego.	ELE PERDER
Ele foi demitido.	ELE DEMITIR
Faz séculos que eu não te vejo.	EU FAZER SÉCULOS TU VER (NÃO)
A próxima segunda é feriado.	SEGUNDA FERIADO
Aaron foi assassinado friamente por Mary.	FRIO AARON MARY ASSASSINAR
Elizabeth matou Alister a sangue frio.	FRIO ELIZABETH ALISTER SANGUE MATAR
Eles foram de carro para a estação.	ELES CARRO ESTAÇÃO IR
Lucro líquido pelos últimos três meses é um novo recorde!	LUCRO 3 NOVO RECORDE MÊS
Eu quase pisei em um gambá ontem à noite.	ONTEM EU GAMBÁ QUASE NOITE PISAR
Quase tropecei num gambá noite passada.	QUASE NOITE GAMBÁ PASSADO PASSADO
O que os olhos não veem o coração não sente.	O OLHO CORAÇÃO SENTIR NÃO VEEM (NÃO)
Mentira tem perna curta.	CURTO MENTIRA PERNA TER
Eu era estudante nessa época.	EU ESSE ESTUDANTE ÉPOCA
Eu vi Dana.	EU DANA VER
Eles veem Dan.	ELES DAN VEEM
Eu vejo Dan e Andrei.	EU DAN ANDREI VER
Eu vejo Dana e Corina.	EU DANA CORINA VER
Eu visitei Dan.	EU DAN VISITAR
Eu vou ao trabalho todo dia.	EU TODO TRABALHO DIA IR
Eu faço isso todo santo dia.	EU TODO ISSO SANTO DIA FAZER
Eu visitei a Romênia há alguns anos atrás.	ATRÁS EU ALGUM HAVER ROMÊNIA ANOS VISITAR
Eu vi Andrea saindo de casa.	EU ANDREA CASA SAIR VER
Eles estão tomando chá na sala de estar.	ELES CHÁ SALA TOMAR
Eu levei minhas roupas para lavar.	EU ROUPAS MEU LAVAR LEVAR
Eu gostaria de beber um café.	EU CAFÉ BEBER GOSTAR
Vamos ver o que vai acontecer.	O VER ACONTECER
Razvan acabou de sair.	RAZVAN SAIR ACABAR
Eu não choro facilmente.	FACILMENTE EU CHORAR (NÃO)
Eu te vi trabalhando e eu não te atrapalhei.	EU TU TRABALHAR VER EU TU ATRAPALHAR (NÃO)
Você quer ir ao cinema ou para o teatro?	{VOCÊ CINEMA OU TEATRO IR QUERER}(q)
Quando você for à Romênia, você vai visitar o Castelo do Drácula.	QUANDO VOCÊ ROMÊNIA VOCÊ VISITAR CASTELO DO DRÁCULA IR
Na França você trabalha na embaixada ou no consulado?	{VOCÊ EMBAIXADA OU CONSULADO FRANÇA TRABALHAR}(q)
Você quer ver um filme francês, não é?	{VOCÊ FILME VER QUERER}(q)
Vocês são alemães, não são?	{VOCÊS ALEMÃES}(q)
A guerra não determina quem está certo — apenas quem resta.	APENAS CERTO QUEM GUERRA RESTAR DETERMINAR (NÃO)
Sempre que escuto essa música eu me lembro de meus tempos de escola.	SEMPRE QUE ESSE EU MÚSICA MEU EU TEMPOS ESCOLA LEMBRAR ESCUTAR
Eu não acredito em Naomi. Acho que ela está mentindo.	EU NAOMI ACREDITAR NÃO MENTIR ACHAR (NÃO)
Não há nada que se possa fazer.	NADA FAZER PODER HAVER (NÃO)
Não há nada que possa ser feito.	NADA FAZER FAZER PODER HAVER (NÃO)
A felicidade, o que ela será?	{FELICIDADE O}(q)
Betty gosta de música clássica.	CLÁSSICO BETTY MÚSICA GOSTAR
Ken não teve coragem de tentar de novo.	NOVO KEN CORAGEM TENTAR NÃO_TER {NÃO}(headshake)
O cachorro come muita carne todo dia.	CACHORRO MUITA TODO CARNE DIA COMER
Eu era uma criança saudável.	EU SAUDÁVEL CRIANÇA
Eu vou abrir a cortina para você ver.	EU VOCÊ CORTINA VER ABRIR
Nós esperamos por ele até 10 horas.	NÓS DELE 10 HORA ESPERAR
Posso me sentar do seu lado?	{SEU EU LADO SENTAR PODER}(q)
Ela pediu a Bob que ele a ensinasse a esquiar.	ELE ELE BOB A ENSINAR ESQUIAR PEDIR
Hoje estudaremos Charles Dickens.	HOJE CHARLES DICKENS ESTUDAR
As normas têm por objetivo definir as características de qualidade para o mel.	NORMAS OBJETIVO CARACTERÍSTICAS QUALIDADE MEL DEFINIR TER
Gosto muito desta maneira de preparar batatas.	ESTE MANEIRA BATATAS EU GOSTAR PREPARAR
Tomates podem ser servidos quentes ou frios, como entrada ou acompanhamento.	TOMATES QUENTES OU COMO FRIOS ENTRADA OU ACOMPANHAMENTO SERVIR PODER
O cão pode ser preparado de diversas maneiras.	CÃO DIVERSAS MANEIRAS PREPARAR PODER
Há alguma diferença entre tomar os suplementos com leite animal ou vegetal?	{ALGUM DIFERENÇA SUPLEMENTOS LEITE ANIMAL OU VEGETAL HAVER TOMAR}(q)
A combinação com uma calda não muito salgada é perfeita.	SALGAR COMBINAÇÃO CALDA SALGAR PERFAZER (NÃO)
Esta sentença não está escrita de forma clara.	CLARO SENTENÇA ESTE ESCREVER FORMA (NÃO)
Mary matou Abbott.	MARY ABBOTT MATAR
É esta a janela que foi partida pelo rapaz.	ESTA JANELA PARTIDA RAPAZ
Até recentemente, a maior parte das coisas de que nós precisávamos eram feitas à mão.	ATÉ RECENTE MAIOR PARTE NÓS COISA MÃO PRECISAR FAZER
"O Ken está ocupado?" "Sim, ele está ocupado."	KEN OCUPAR SIM ELE OCUPAR
O tufão atingiu a cidade, produzindo grandes estragos.	TUFÃO CIDADE GRANDE ESTRAGOS ATINGIR PRODUZIR
Gostaria de ter sido mais simpático com a rapariga.	ELE GOSTAR SIMPÁTICO MULHER RAPAZ MAIS
Quem descobriu o elemento químico rádio?	QUÍMICO RÁDIO ELEMENTO DESCOBRIR QUEM (NÃO)
Estou contra esse projecto de lei.	ESSE PROJECTO LEI
Rir-se dos seus problemas é típico dele.	ELE RIR PROBLEMA TÍPICO SEU DELE
Obriguei-o a ir lá imediatamente.	IMEDIATO O LÁ IR
O projecto implica grandes despesas.	GRANDE PROJECTO DESPESAS IMPLICAR
Estou sempre a dizê-lo.	SEMPRE DIZER DIZER
Curiosamente, ele não estava a par da notícia.	CURIOSO ELE NOTÍCIA (NÃO)
Todos nós considerámos a tua ideia irrealista.	IRREALISTA TODO NÓS IDEIA TEU CONSIDERAR
Tu deverias simplesmente fazê-lo, como disseste que o farias.	DEVER O FAZER TU DIZER DIZER FAZER
Graças a eles, eu finalmente restabeleci-me.	FINAL EU EU ELES RESTABELECER
Este ar condicionado consome muita electricidade.	AR MUITA ESTE ELECTRICIDADE CONDICIONAR CONSUMIR
Ele veio de carro.	ELE CARRO VIR
Isto vai tratar da tua dor de cabeça num instante.	ELE DOR CABEÇA INSTANTE TEU TRATAR
Os dois professores tinham o mesmo número de estudantes.	MESMO PROFESSOR NÚMERO 2 ESTUDANTE TER
É difícil visitar Tóquio em alguns dias.	DIFÍCIL ALGUM VISITAR TÓQUIO DIA
Eu lembro-me do que ele disse.	EU ELE EU DO QUE DIZER LEMBRAR
Vai em frente por esta rua.	ESTE FRENTE RUA ELE IR
Consulta a lista telefónica.	TELEFÓNICO LISTA ELE CONSULTAR
Ele mede quase seis pés.	QUASE ELE 6 PÉ MEDIR
Ele ganhou grande prestígio como cientista.	GRANDE COMO ELE PRESTÍGIO CIENTISTA GANHAR
Londres foi várias vezes bombardeada.	LONDRES VÁRIOS MULHER VEZ BOMBARDEAR IR
Poderias massajar-me o peito?	{TU PODER PEITO MASSAJAR ME}(q)
Estou preocupado com os resultados do exame.	RESULTADOS PREOCUPAR EXAME
Quanto mais velhos ficamos, pior é a nossa memória.	QUANTO MAIS NOSSO PIOR MEMÓRIA
Ele não te compreendeu.	ELE TU COMPREENDER (NÃO)
Ele disse que sofria de uma forte dor de cabeça.	ELE DOR FORTE CABEÇA DIZER
Não deixes de me visitar, um destes dias.	EU DIA VISITAR DEIXAR (NÃO)
Muitas pessoas famosas apoiam o movimento.	FAMOSAS PESSOA MOVIMENTO MUITAS ELES APOIAR
Se queres emagrecer, deverias parar de debicar.	TU DEVER EMAGRECER PARAR DEBICAR QUERER
Logo que saí da loja, dei com o meu professor.	LOGO QUE LOJA MEU SAÍ DAR PROFESSOR
Depois de lavar as janelas, parece sempre que há traços de sujidade.	DEPOIS SEMPRE QUE JANELAS HAVER LAVAR TRAÇOS SUJIDADE PARECER
Tomaremos em conta os seus sentimentos.	SEU ELE CONTAR SENTIMENTOS TOMAR
Receberá um e-mail de confirmação logo que a sua conta tiver sido activada por um administrador.	LOGO QUE CONTA E MAIL SEU ACTIVAR CONFIRMAÇÃO ADMINISTRADOR RECEBER
Ela achou essencial dar aos seus filhos o hábito de se levantar cedo.	CEDO ESSENCIAL HÁBITO SEU FILHOS DAR ELE ACHAR LEVANTAR
Ela tem mais ou menos a minha idade.	MAIS OU MENOS MEU IDADE ELE TER
Segundo o jornal, houve um grande incêndio na noite passada.	JORNAL INCÊNDIO PASSADO ELE TER MUITO
Ele fez fortuna graças à sua frugalidade.	GRAÇAS ELE FORTUNA FRUGALIDADE SEU FAZER
Eu discuti com ele até obter o seu consentimento.	EU SEU DELE OBTER CONSENTIMENTO DISCUTIR
Ele atrasou-se por causa da neve.	ELE CAUSA NEVE ATRASAR
Ele perdeu-se no meio da neve.	ELE MEIO NEVE PERDER
Ele está sempre a dizer mal dos outros.	SEMPRE ELE MAL OUTROS DIZER
Ele não tomou parte na conspiração. Era o seu irmão, e não ele, que estava contra o governo.	ELE PARTE CONSPIRAÇÃO TOMAR NÃO IRMÃO SEU ELE GOVERNO (NÃO)
Ele é teimoso nas suas opiniões.	ELE TEIMOSO MULHER OPINIÃO SEU
Ele estava determinado a ir, portanto eu decidi ajudá-lo o melhor que podia.	ELE DETERMINAR IR PORTANTO EU MELHOR AJUDAR DECIDIR PODER
Receio que ele nunca admitirá a sua culpa.	RECEIO ELE SEU ADMITIR CULPA NUNCA NÃO
Ele nunca bebeu vinho.	ELE VINHO BEBER NUNCA NÃO
Ele tem o poder absoluto.	ABSOLUTO ELE PODER TER
Ele desistiu, desesperado.	ELE DESESPERAR DESISTIR
Ele veio a casa desesperado.	ELE CASA DESESPERADO VIR
Ele perdeu esperança e suicidou-se com veneno.	ELE ESPERANÇA PERDER VENENO ELE SUICIDAR
A casa deles está cheia de risos e amor.	CASA RISOS ELES CHEIO AMOR ESTAR
Os trabalhos foram distribuídos no primeiro de setembro.	TRABALHOS PRIMEIRO SETEMBRO DISTRIBUIR
Estavam prestes a perder a paciência.	PRESTES PERDER PACIÊNCIA
Como falavam em chinês, não percebi nada do que eles disseram.	COMO ELES CHINÊS NADA DO QUE DIZER FALAR PERCEBER (NÃO)
Eles continuaram a conversa.	ELES CONVERSA CONTINUAR
Ele escreveu muitos livros sobre a China.	ELE LIVRO CHINA MUITOS ESCREVER
Ele gostaria de ir à China.	ELE CHINA IR GOSTAR
Ele fala um pouco Chinês.	ELE UM POUCO CHINÊS FALAR
Ele fumava um cigarro depois do almoço.	DEPOIS ELE CIGARRO ALMOÇO FUMAR
Ele apoiou-se a uma coluna e contemplou a Estátua da Liberdade.	ELE COLUNA APOIAR ESTÁTUA DA LIBERDADE CONTEMPLAR
Ele continuou a trabalhar até à noite.	ATÉ ELE NOITE TRABALHAR CONTINUAR
Ele trabalha na quinta de manhã até à noite.	ATÉ ELE QUINTA NOITE TRABALHAR
Ele partiu às quatro da manhã.	ELE 4 MANHÃ PARTIR
Ele tinha o hábito de comer pão ao pequeno almoço.	ELE HÁBITO PÃO PEQUENO ALMOÇO TER COMER
Ele tomou um duche antes do pequeno-almoço.	ANTES ELE DUCHE PEQUENO ALMOÇO TOMAR
Ele não se levantou cedo esta manhã.	CEDO ELE ESTE MANHÃ LEVANTAR (NÃO)
Ele tentou nadar contra a maré.	ELE MARÉ NADAR TENTAR
Ele perdeu-se na cidade.	ELE CIDADE PERDER
Ele é conhecido na cidade.	ELE CIDADE CONHECER
Ele dirigiu-se ao seu auditório com uma voz suave.	SUAVE ELE AUDITÓRIO VOZ SEU DIRIGIR
Ele vive em Nagasaki.	ELE NAGASAKI VIVER
Ele tinha os cabelos longos.	LONGOS ELE CABELOS TER
Ele ascendeu rapidamente ao cume.	RAPIDAMENTE ELE CUME ASCENDER
Ele abriu as jaulas.	ELE JAULAS ABRIR
Ele disparou contra o pássaro, mas falhou.	ELE PÁSSARO DISPARAR MAS ELE FALHAR
Intuitivamente, ele sabia que ela estava a mentir.	INTUITIVO ELE ELE MENTIR SABER
Ele fala de maneira franca.	FRANCO ELE MANEIRA FALAR
Estava de mau humor, o que era inabitual com ele.	HUMOR O ELE INABITUAL
Ele deu uma breve olhada aos passantes.	ELE BREVE PASSANTES DAR OLHAR
Roubaram-lhe o dinheiro na rua.	DINHEIRO RUA ELES ROUBAR
Ele conseguiu livrar-se sozinho do hábito de roer as unhas.	ELE SÓ HÁBITO UNHAS LIVRAR CONSEGUIR ROER
Ele adora ir à pesca.	ELE PESCA IR ADORAR
Ele está completamente louco.	COMPLETAMENTE ELE LOUCO
Esta mesa está limpa.	MESA ESTE LIMPA
Ela é famosa como cantora, mas não como poeta.	COMO MULHER CANTOR MAS POETA FAMOSO COMO (NÃO)
Eu preciso de mais ouro.	EU PRECISO OURO MAIS
Eu quero meu dinheiro de volta.	EU DINHEIRO VOLTA MEU QUERER
O que está acontecendo nessa cidade?	{O ESSE CIDADE ACONTECER}(q)
Isso é de verdade?	{ISSO VERDADE}(q)
Isso é real?	{ISSO REAL}(q)
Eu uso o Firefox.	EU USO FIREFOX
Ele tem três filhos homens.	FILHO ELE HOMEM 3 TER
O câncer é um grande inimigo da humanidade.	CÂNCER GRANDE INIMIGO HUMANIDADE
Me desculpe, mas não entregaram leite na minha casa hoje.	EU DESCULPAR MAS HOJE LEITE CASA MEU ELES ENTREGAR (NÃO)
Me dê a colher.	EU COLHER DAR
Eu gosto de maçã.	EU MAÇÃ GOSTAR
Quem vai limpar hoje à noite?	HOJE NOITE LIMPAR QUEM (NÃO)
Continua.	ELE CONTINUAR
Não saia, pois está chovendo.	POIS SAIA CHOVER (NÃO)
Nosso filho morreu durante a guerra.	FILHO GUERRA NOSSO MORRER
Todos gostam dela.	TODO ELES GOSTAR
Todo mundo gosta dela.	TODO MUNDO GOSTAR
O telefone tocou por bastante tempo.	TELEFONE TEMPO BASTANTE TOCAR
Ela almoça aqui de tempos em tempos.	AQUI TEMPOS TEMPOS ELE ALMOÇAR
Não faça com os outros o que você não quer que seja feito com você.	QUE OUTROS VOCÊ O FAZER VOCÊ FAZER (NÃO)
Também estamos sem ovos.	TAMBÉM OVOS
Nosso restaurante é o melhor.	RESTAURANTE MELHOR NOSSO
Você vai voltar amanhã?	{AMANHÃ VOCÊ VOLTAR}(q)
Quantos livros ele tem?	LIVRO ELE TER QUANTOS (NÃO)
Ela veio para Tóquio aos 18 anos.	TÓQUIO 18 ANO VIR
Mas eu não sei fazer kebabs!	MAS EU KEBABS FAZER NÃO_SABER {NÃO}(headshake)
Nosso restaurante é melhor do que aquele outro.	MELHOR DO QUE RESTAURANTE AQUELE NOSSO OUTRO
Corte as batatas.	BATATAS CORTE
Ela está morta.	MORTO
Ela não é alta.	ALTA
Somos uma fortaleza.	FORTALEZA
Você está brincando comigo?!	{VOCÊ COMIGO BRINCAR}(q)
Você está tentando me fazer de besta?!	{VOCÊ EU BESTA FAZER TENTAR}(q)
Eu não quero ser bobo, quero ser legal!!	EU BOBO QUERER LEGAL (NÃO)
O quê?! Você comeu meu urso de chocolate?!	{O QUÊ VOCÊ FOCINHO1 URSO2 CHOCOLATE MEU COMER}(q)
Eu me pergunto que efeito os avanços tecnológicos tais como a Internet, telefones celulares e tecnologia de digitalização têm na consciência, nas ações e no interesse por política das pessoas.	TECNOLÓGICOS CELULARES EU EU EFEITO TAIS AVANÇOS INTERNET TELEFONES PERGUNTAR TECNOLOGIA DIGITALIZAÇÃO CONSCIÊNCIA MULHER AÇÃO TER
Hoje eu descobri que existe um filme chamado "Os russos estão chegando! Os russos estão chegando!".	HOJE EU FILME RUSSOS EXISTIR DESCOBRIR NOME CHEGAR RUSSOS CHEGAR
A verdade prevalece.	VERDADE PREVALECER
Queremos continuar sendo o que somos.	QUERER O CONTINUAR
Um por todos e todos por um.	TODO 1 0 TODOS
Uma vez ladrão, sempre ladrão.	UMA VEZ SEMPRE LADRÃO
Você quer trabalhar na METRO?	{VOCÊ METRO TRABALHAR QUERER}(q)
Receba tanto um telefone como acesso à internet em um único pacote!	COMO INTERNET TELEFONE ACESSO PACOTE TANTO ELE RECEBER
Almaty é a minha cidade favorita!	ALMATY CIDADE MULHER FAVORITO MEU
Celebre com estilo!	ESTILO ELE CELEBRAR
A sorte está lançada.	SORTE LANÇAR
Eu fui ao banco retirar dinheiro.	EU BANCO DINHEIRO RETIRAR IR
Eu fui no banco sacar dinheiro.	EU BANCO SACAR DINHEIRO IR
Eu lavo minhas mãos antes de almoçar.	ANTES EU MÃOS MEU ALMOÇAR LAVAR
Eu sou o alfa e o ômega, o primeiro e o último, o começo e o fim.	EU ALFA E ÚLTIMO ÔMEGA PRIMEIRO COMEÇO FIM
Lembre da sua humanidade e esqueça o resto.	HUMANIDADE SEU ELE LEMBRAR RESTO ELE ESQUECER
Liderança moral é mais poderosa do que qualquer arma.	LIDERANÇA QUALQUER PODEROSO MAIS DO QUE ARMA
A união faz a força.	UNIÃO FORÇA FAZER
Eu estava esperando que você dissesse isso.	EU VOCÊ ISSO DIZER ESPERAR
Eu tinha quinze anos nesta foto.	EU ESTE ANO 15 FOTO TER
Eu nasci dia 23 de março de 1969, em Barcelona.	EU 23 DIA MARÇO 1969 BARCELONA NASCER
Eu queria matá-lo, mas estava cansado demais para segurar com firmeza sua automática.	EU MATAR MATAR QUERER MAS DEMAIS SEU CANSAR SEGURAR FIRMEZA AUTOMÁTICA
Eu te quero.	EU QUERER
Eu quero que você venha cá.	CÁ EU VOCÊ VIR QUERER
Eu quero que você esteja aqui.	AQUI EU VOCÊ
Eu quero trabalhar com sua empresa.	EU EMPRESA SEU TRABALHAR QUERER
Eu quero te dizer uma coisa estranha.	EU ESTRANHO COISA DIZER QUERER
Quero tomar um banho.	BANHO TOMAR EU QUERER
Quero aproveitar a oportunidade de falar com o governador.	OPORTUNIDADE GOVERNADOR APROVEITAR EU QUERER FALAR
Quero passar a minha vida com você.	MEU PASSADO VIDA VOCÊ PASSADO QUERER
Quero lhe mostrar uma vista espetacular.	LHE ESPETACULAR VISTA MOSTRAR QUERER
Eu nasci em 1988 em York.	EU 1988 YORK NASCER
Eu nasci no ano de 1988 em York.	EU ANO 1988 YORK NASCER
Eu desejo fazer uma ligação local, para o número 20-36-48.	EU LOCAL NÚMERO 0 LIGAÇÃO FAZER DESEJAR
Eu quero te beijar.	EU TU BEIJAR QUERER
Estou a fim de fazer compras.	FAZER COMPRAS
Quero ir fazer compras.	COMPRAS FAZER EU QUERER
Eu quero te conhecer melhor.	EU MELHOR CONHECER QUERER
Quero limpar a casa antes que meus pais cheguem.	ANTES PAIS CASA MEU CHEGAR LIMPAR QUERER
Quero sacar um cheque.	CHEQUE SACAR EU QUERER
Quero estar com você para sempre.	SEMPRE VOCÊ
Eu quero o bolo maior.	MAIOR EU BOLO QUERER
Eu quero isso depois.	DEPOIS EU ISSO QUERER
Eu quero tomar café da manhã no meu quarto.	EU CAFÉ MANHÃ QUARTO MEU TOMAR QUERER
Quero um quarto para hoje à noite.	HOJE QUARTO NOITE EU QUERER
Quero um livro. Onde fica a livraria?	LIVRO EU QUERER LIVRARIA ELE FICAR ONDE (NÃO)
Quero um bolo azul.	AZUL BOLO EU QUERER
Normalmente eu como muito.	NORMAL EU COMO
Eu uso o Yahoo! para buscar na internet.	EU USO YAHOO INTERNET BUSCAR
Eu uso a internet para fazer negócios.	EU USO INTERNET FAZER NEGÓCIOS
Eu acho que você cometeu um erro.	EU VOCÊ COMETER ERRO ACHAR
Eu acho que Juan gosta de María.	EU JUAN GOSTAR MARÍA ACHAR
Eu acho que durante a semana.	EU SEMANA ACHAR
Durante a semana, penso eu.	SEMANA EU PENSAR
Eu acho o castelo de Malbork maravilhoso.	MARAVILHOSO EU CASTELO MALBORK ACHAR
Acho que alguém está batendo na porta.	ALGUÉM BATER PORTA ACHAR
Ele tomou um banho antes do café da manhã.	ANTES ELE BANHO CAFÉ MANHÃ TOMAR
Ele costumava comer pão no café da manhã.	ELE PÃO CAFÉ MANHÃ COMER COSTUMAR
Ele perdeu as esperanças e se matou com veneno.	ELE ESPERANÇAS PERDER VENENO ELE MATAR
Como eles estavam conversando em chinês, eu não consegui entender absolutamente nada.	ABSOLUTO ELES EU COMO CONVERSAR CHINÊS NADA ENTENDER CONSEGUIR (NÃO)
Depois de lavar as janelas, parece sempre que há traços de sujeira.	DEPOIS SEMPRE QUE JANELAS HAVER LAVAR TRAÇOS SUJEIRA PARECER
Mal saí da loja, dei de cara com o meu professor.	MAL SAÍ DAR LOJA CARA PROFESSOR MEU
Se você quiser emagrecer, deveria parar de beliscar.	SE VOCÊ QUERER EMAGRECER PARAR BELISCAR DEVER
Não deixe de me visitar qualquer dia desses.	QUALQUER EU DIA VISITAR DEIXAR (NÃO)
Você podia massagear meu peito?	{VOCÊ PEITO MEU MASSAGEAR PODER}(q)
Isso vai acabar com a sua dor de cabeça num instante.	ISSO DOR CABEÇA INSTANTE SEU ACABAR
Por causa deles, eu finalmente me recuperei.	FINAL EU CAUSA ELES EU RECUPERAR
Rir de seus próprios problemas é a cara dele.	PROBLEMA SEU RIR CARA DELE
Sou contra esse projeto de lei.	ESSE PROJETO LEI
Eu queria ter sido mais simpático com a menina.	EU QUERER SIMPÁTICO MULHER MENINO MAIS
Dizem que sete é um número que dá sorte.	DIZER NÚMERO SORTE DAR
É logo na esquina.	LOGO ESQUINA
Muito romântico!	ROMÂNTICO
