Diana através dos ramos	ATRAVÉS DIANA RAMOS
Perdendo a religião, nada reavemos para a substituir; nem arte, porque a arte é, como religião, para muito poucos; nem ciência, que é para menos ainda, nem filosofia, que é para quase nenhuns.	NADA PERDER IGREJA SUBSTITUIR NÓS REAVER NEM ARTE PORQUE ARTE COMO IGREJA POUCOS NEM AINDA CIÊNCIA MENOS NEM QUASE FILOSOFIA NENHUNS
Não me refiro à conducta mas a ideais	EU CONDUCTA MAS IDEAIS REFERIR (NÃO)
Uma sociedade nunca pode ser grande nem pura sem ideais, porque na moral que nasce (...), na moral para uso quotidiano e de quotidiana origem, caberá uma certa decência, uma honestidade (...), razoáveis instintos humanitários, mas não uma nobreza de qualquer espécie, não uma grandeza de carácter	SOCIEDADE GRANDE ELE PODER NUNCA NÃO NEM PORQUE PURO IDEAIS MORAL MORAL USO QUOTIDIANO NASCER RAZOÁVEIS INSTINTOS HUMANITÁRIOS CERTO QUALQUER QUOTIDIANO ORIGEM DECÊNCIA MAS HONESTIDADE GRANDEZA CARÁCTER ELE CABER (NÃO)
E o ponto importante é este	PONTO ESTE
O ideal é a vida; vamos perdendo o ideal, e a nossa vitalidade vai diminuindo tristemente (...)	IDEAL VIDA IDEAL PERDER TRISTE VITALIDADE NOSSO DIMINUIR
OS 3 GÉNEROS DE ARTISTAS.	3 GÉNEROS ARTISTAS
O artista para quem a arte é uma necessidade como que física, directa, como são a de comer e a de beber	ARTE ARTE FÍSICO COMO NECESSIDADE COMER BEBER
Para este a arte é uma função da vida.	ARTE ESTE FUNÇÃO VIDA
O artista para quem a arte é um refúgio, um modo de esquecer a vida; como um narcótico, um vício qualquer, um álcool.	ARTE ARTE QUALQUER REFÚGIO COMO NARCÓTICO MODO VIDA VÍCIO ÁLCOOL ESQUECER
O artista para quem a arte é uma tarefa, uma missão a cumprir.	ARTE ARTE TAREFA MISSÃO CUMPRIR
Do 1.º género são homens como Shelley, Byron - como o romântico, em geral.	GÉNERO HOMEM COMO DT(S-H-E-L-L-E-Y) COMO DT(B-Y-R-O-N) ROMÂNTICO GERAL
Do 2.º género são homens como Verlaine, Baudelaire, e outros assim (incluir Maupassant).	GÉNERO COMO HOMEM DT(V-E-R-L-A-I-N-E) DT(B-A-U-D-E-L-A-I-R-E) ASSIM OUTROS DT(M-A-U-P-A-S-S-A-N-T) INCLUIR
Do 3.º grupo são os grandes criadores como Milton.	GRUPO GRANDE COMO CRIADOR DT(M-I-L-T-O-N)
Exmo	EXMO
Sr.	SR.
Venho dirigir-me a V	EU VIR EU V DIRIGIR
Exa	EXA
para lhe fazer uma pergunta que talvez não seja das mais agradáveis, mas que, contudo, se me torna necessária e que me é pedida pela minha consciência.	FAZER PERGUNTA AGRADÁVEIS MAIS AINDA_NÃO MAS TALVEZ ELE PERGUNTAR AGRADÁVEIS LHE FAZER QUE MAIS MAS QUE CONTUDO EU NECESSÁRIO TORNAR CONTUDO QUE EU MEU CONSCIÊNCIA PEDIR PELAR {NÃO}(headshake)
Fui baptizado nessa freguesianessa igreja, - em (...) de Julho de 1888 - tendo nascido em 13 de Junho do mesmo ano.	MESMO FREGUESIANESSA ESSE JULHO 1888 IGREJA JUNHO ANO NASCER BAPTIZAR
Comigo aconteceu isto: a igreja católica, poderosa e estúpida, irracional e decrépita, sustentando a velha hipótese dum Deus criador, eminentemente estúpido e eminentemente mau a julgar pelo (...)	CATÓLICO PODEROSO COMIGO IGREJA ELE ACONTECER ESTÚPIDO IRRACIONAL EMINENTE DECRÉPITO VELHO HIPÓTESE CRIADOR ESTÚPIDO DEUS EMINENTE MAU
Sinto-me às vezes tocado, não sei porquê, de um pronúncio de morte	ÀS VEZES EU SENTIR PRONÚNCIO PORQUÊ MORTE TOCAR NÃO_SABER {NÃO}(headshake)
Ou seja, uma vaga doença, que se não materializa em dor e por isso tende a espiritualizar-se em fim, ou seja, um cansaço que quer um sono tão profundo que o dormir lhe não basta — o certo é que sinto como se, no fim de um piorar de doente, por fim largasse sem violência ou saudade as mãos débeis de sobre a colcha, sentida.	OU SEJA DOENÇA DOR MATERIALIZAR NÃO ISSO FIM ELE ESPIRITUALIZAR TENDER OU OU SEJA VAGA QUE DOR ESPIRITUALIZAR ISSO FIM ELE TENDER OU É QUE QUE LHE FIM CANSAÇO QUE QUERER TÃO COMO SE FIM DOENTE LARGAR SONO PROFUNDAR BASTAR VIOLÊNCIA CERTO DORMIR COLCHA MÃOS DÉBEIS SENTIR SAUDADE (NÃO)
Considero então que coisa é esta a que chamamos morte	ENTÃO COISA CONSIDERAR ESTA MORTE NOME
Não quer dizer o mistério da morte, que não penetro, mas a sensação física de cessar de viver	QUER DIZER MISTÉRIO MORTE PENETRAR NÃO MAS FÍSICO SENSAÇÃO VIVER CESSAR (NÃO)
A humanidade tem medo da morte, mas incertamente o homem normal bate-se bem em exercício, o homem normal, doente ou velho, raras vezes olha com horror o abismo do nada que ele atribui a esse abismo	HUMANIDADE MEDO MORTE TER MAS INCERTO NORMAL NORMAL DOENTE HOMEM EXERCÍCIO BEM HOMEM ELE BATER OU VELHO OLHA ELE ESSE HORROR MULHER VEZ ABISMO NADA ABISMO ATRIBUIR
Tudo isso é falta de imaginação	TUDO ISSO IMAGINAÇÃO
Nem há nada menos de quem pensa que supor a morte um sono	NEM QUEM MORTE NADA PENSAR SUPOR SONO HAVER
Porque o há-de ser se a morte se não assemelha ao sono	PORQUE MORTE O SONO 1 ASSEMELHAR (NÃO)
O essencial do sono é o acordar-se dele, e da morte, supomos, não se acorda	ESSENCIAL SONO DELE ACORDAR NÓS SUPOR MORTE SUPOR ACORDAR (NÃO)
E se a morte se assemelha	SE MORTE ASSEMELHAR
ao sono, deveremos ter a noção de que se acorda dela	SONO NOÇÃO TER DEVER ACORDAR
Não é isso porém, o que o homem normal se figura: figura para si a morte como um sono de que não se acorda, o que nada quer dizer	HOMEM ACORDAR QUE ISSO PORÉM NORMAL SONO QUE SI COMO (NÃO)
A morte, disse não se assemelha ao sono, pois no sono se está vivo e dormindo; nem sei como pode alguém assemelhar a morte a qualquer coisa, pois não pode ter experiência dela, ou coisa com que a comparar.	POIS MORTE ASSEMELHAR DIZER SONO SONO VIVO DORMIR NEM COMO POIS ALGUÉM QUALQUER MORTE PODER EXPERIÊNCIA ASSEMELHAR TER SABER PODER NÃO PODER NÃO PODER NÃO PODER NÃO OU A COISA COMPARAR (NÃO)
A mim, quando vejo um morto, a morte parece-me uma partida O cadáver dá-me a impressão de um trajo que se deixou	EU QUANDO MORTE O CADÁVER EU PARTIDA MORTO IMPRESSÃO TRAJO VER PARECER DAR DEIXAR
Alguém se foi embora e não precisou de levar aquele fato único que vestira.	EMBORA ALGUÉM IR AQUELE FATO LEVAR VESTIR PRECISAR (NÃO)
JULIANO EM ANTIOQUIA	DT(J-U-L-I-A-N-O) EM ANTIOQUIA
O poema simboliza a alma elevada que, num tempo de decadência, luta inutilmente, procura infrutiferamente entravar a corrupção e a degenerescência gerais.	POEMA DECADÊNCIA GERAIS GERAIS CORRUPÇÃO DEGENERESCÊNCIA GERAIS SIMBOLIZAR ELEVAR ENTRAVAR PROCURAR
O tema (que deve envolver, à parte este ponto central, outros pontos acessórios) é a estada de Juliano na cidade cristã e corrupta de Antiochia, e escolhe para base um momento em que o Imperador sente bem a diferença moral entre si e os que o cercam e a diferença de força entre a sua personalidade isolada e a inteira estrutura decadente da sociedade que o cerca e que ele governa.	TEMA ESTE OUTRO PONTOS PARTE CRISTÃO ESTADA DT(J-U-L-I-A-N-O) CRISTÃO CIDADE CRISTÃO ENVOLVER DEVER CORRUPTO ANTIOCHIA BEM IMPERADOR BASE MOMENTO DIFERENÇA MORAL SI ESCOLHER SENTIR OS O CERCAR DIFERENÇA FORÇA PERSONALIDADE SEU ISOLAR CERCA O INTEIRO DECADENTE SOCIEDADE ESTRUTURA ELE GOVERNAR
No tratamento do tema deve vir penumbrado o fim de Juliano.	TEMA TRATAMENTO FIM DT(J-U-L-I-A-N-O) PENUMBRAR DEVER
Quem governa mais longe que só os gestos?	LONGE MAIS SÓ GESTOS GOVERNAR QUEM (NÃO)
Quem pode mandar mais do que o Destino?	{DESTINO MAIS DO QUE MANDAR PODER QUEM}(q)
Mithras, meu pai, (...)	DT(M-I-T-H-R-A-S) PAI MEU
Regente inútil de um império extinto,	INÚTIL REGENTE IMPÉRIO EXTINGUIR
Portador de um cadáver sobre mim,	CADÁVER EU
Minha vontade morre no precinto	MEU VONTADE PRECINTO MORRER
alma, sem alma alguma afim."", 	ALGUM ALMA ALMA AFIM
Ó Juliano Apóstata, que laço	Ó DT(J-U-L-I-A-N-O) DT(A-P-Ó-S-T-A-T-A) LAÇAR
É esse que me prende a quem tu foste,	ESSE EU QUEM TU IR PRENDER
Imperador sombrio e calmo, quem	IMPERADOR SOMBRIO CALMO
É que em nós ambos é o mesmo alguém?	{AMBOS NÓS MESMO ALGUÉM}(q)
Porque sinto eu teu gesto no meu braço	PORQUE MEU EU GESTO BRAÇO TEU SENTIR
Na m[inha] vida tua morte.	M VIDA MORTE INHA TEU
Quem foste tu, que hoje me sabes tanto	HOJE QUEM TANTO TU EU SABER IR
A eu ter sido tu	EU TU
Porque é que lembro	PORQUE EU LEMBRAR
Teu vulto sério, o mando teu augusto,	TEU VULTO AUGUSTO MANDO TEU
Teu peito de alma, calmo e (...) e justo,	PEITO ALMA CALMO JUSTO TEU
Como o por Maio a Junho estéril pranto	MAIO A JUNHO O PRANTO ESTÉRIL
Quando é Dezembro?	DEZEMBRO QUANDO (NÃO)
Imperador aceite pelas gentes 	IMPERADOR ACEITE GENTES
Do teu império em gritos [?] de te querer, 	IMPÉRIO GRITOS TEU TU QUERER
Sóbrio, vergado sobre os livros, (...)	SÓBRIO LIVRO VERGAR
Agora, renascido,	AGORA RENASCER
Quero outra vez erguer os deuses mortos.	OUTRA VEZ QUERER DEUSES MORTOS ERGUER
Outrora	OUTRORA
No crepúsculo do Império,	CREPÚSCULO IMPÉRIO
Eu, Julião o Apóstata, mandei	EU DT(J-U-L-I-Ã-O) O DT(A-P-Ó-S-T-A-T-A) MANDAR
Os templos dos meus Deuses reerguer.	TEMPLOS DEUSES MEU REERGUER
Não é era minha a Hora.	HORA MEU ERA (NÃO)
Tua era, ó Cristo, e (...)	Ó TEU CRISTO
Às vezes, quando cismo, e incerto vou	ÀS VEZES QUANDO EU CISMAR INCERTO IR
Através do meu ser em confusão	ATRAVÉS CONFUSÃO
Procuro ver, sentir, sem olhos ler	EU PROCURAR OLHO SENTIR LER VER
Na minha consciência a alvorecer	CONSCIÊNCIA MEU ALVORECER
De que anterior Presença humana sou	ANTERIOR HUMANO PRESENÇA
A reincarnação.	REINCARNAÇÃO
Então, aos olhos com que sonho olhando,	ENTÃO OLHO EU SONHAR OLHAR
Meu próprio vulto outro se ergue, e eu sei	PRÓPRIO VULTO MEU OUTRO ERGUER EU SABER
Que fui, num grande ocaso de (...) gentes	GRANDE OCASO GENTES IR
Entre sonhos nas almas confluentes	CONFLUENTES SONHOS
Alguém com gesto e mando,	ALGUÉM GESTO MANDO
Imperador ou rei.	IMPERADOR OU REI
Triste, profundamente triste, calmo	PROFUNDO TRISTE TRISTE CALMO
Sim, calmo como a morte, eu quis fazer	SIM CALMO EU MORTE QUERER FAZER
Com que em não sei que terra revivesse	TERRA REVIVER NÃO_SABER {NÃO}(headshake)
Um belo culto morto, a incerta messe (...)	CULTO INCERTO MESSE MATAR
XIII	XIII
Emissário de um rei desconhecido	EMISSÁRIO REI DESCONHECER
Eu cumpro informes instruções de além,	MULHER INSTRUÇÃO EU INFORMES ALÉM CUMPRIR
E as bruscas frases que aos meus lábios vêm	BRUSCAS LÁBIOS MEU VIR
Soam-me a um outro e anómalo sentido...	SENTIDO EU OUTRO ANÓMALO SOAR
Inconscientemente me divido	INCONSCIENTE EU DIVIDIR
Entre mim e a missão que o meu ser tem,	EU MISSÃO MEU TER
E a glória do meu Rei dá-me o desdém	GLÓRIA MEU EU REI DESDÉM DAR
Por este humano povo entre quem lido...	ESTE HUMANO QUEM LIDAR
Não sei se existe o Rei que me mandou	REI EXISTIR EU MANDAR NÃO_SABER {NÃO}(headshake)
Minha missão será eu a esquecer,	MEU MISSÃO EU ESQUECER
Meu orgulho o deserto em que em mim estou...	ORGULHO DESERTO MEU EU
Mas há	MAS HAVER
Eu sinto-me altas tradições	ALTAS EU EU MULHER TRADIÇÃO SENTIR
De antes de tempo e espaço e vida e ser...	ANTES TEMPO ESPAÇO VIDA
Já viram Deus as minhas sensações...	JÁ DEUS MULHER SENSAÇÃO MEU VER
Na casa defronte de mim e dos meus sonhos, 	DEFRONTE CASA MEU EU SONHOS
Que felicidade há sempre!	SEMPRE FELICIDADE HAVER
Moram ali pessoas que desconheço, que já vi mas não vi	ALI PESSOA JÁ VER MORAR DESCONHECER MAS EU VER (NÃO)
São felizes, porque não são eu.	PORQUE FELIZES EU (NÃO)
As crianças, que brincam às sacadas altas, 	CRIANÇAS ALTAS SACADAS BRINCAR
Vivem entre vasos de flores, 	VASOS MULHER FLOR ELES VIVER
Sem dúvida, eternamente.	ETERNO DÚVIDA
As vozes, que sobem do interior do doméstico, 	MULHER VOZ INTERIOR DOMÉSTICO SUBIR
Cantam sempre, sem dúvida	SEMPRE DÚVIDA ELES CANTAR
Sim, devem cantar.	SIM CANTAR ELES DEVER
Quando há festa cá fora, há festa lá dentro	QUANDO CÁ FORA HAVER FESTA FESTA LÁ DENTRO HAVER
Assim tem que ser onde tudo se ajusta — 	ASSIM TUDO ONDE AJUSTAR
O homem à Natureza, porque a cidade é Natureza.	HOMEM PORQUE CIDADE NATUREZA NATUREZA
Que grande felicidade não ser eu!	FELICIDADE EU (NÃO)
Mas os outros não sentirão assim também	MAS ASSIM OUTROS TAMBÉM SENTIR (NÃO)
Quais outros	OUTRO QUAIS
Não há outros	OUTROS HAVER (NÃO)
O que os outros sentem é uma casa com a janela fechada, 	OUTROS CASA JANELA SENTIR FECHAR
Ou, quando se abre, 	OU OU OU ABRIR
É para as crianças brincarem na varanda de grades, 	CRIANÇAS VARANDA GRADES BRINCAR
Entre os vasos de flores que nunca vi quais eram.	VASOS MULHER FLOR QUAIS VER NUNCA NÃO
Os outros nunca sentem	OUTROS SENTIR NUNCA NÃO
Quem sente somos nós, 	QUEM NÓS
Sim, todos nós, 	SIM TODO NÓS
Até eu, que neste momento já não estou sentindo nada.	JÁ ESTE EU MOMENTO NADA SENTIR (NÃO)
Um nada que dói...	NADA DOER
XIV	XIV
Como uma voz de fonte que cessasse	VOZ FONTE CESSAR
(E uns para os outros nossos vãos olhares	OUTRO NOSSO UNS VÃOS OLHARES
Se admiraram), para além dos meus palmares	PALMARES MEU ELES ADMIRAR
De sonho, a voz que do meu tédio nasce	VOZ TÉDIO SONHO MEU NASCER
Parou	ELE PARAR
Apareceu já sem disfarce	JÁ DISFARCE ELE APARECER
De música longínqua, asas nos ares,	ASAS MÚSICA LONGÍNQUO ARES
O mistério silente como os mares,	MISTÉRIO SILENTE COMO MARES
Quando morreu o vento e a calma pasce...	QUANDO VENTO MORRER CALMO ELE PASCER
A paisagem longínqua só existe	SÓ PAISAGEM LONGÍNQUO EXISTIR
Para haver nela um silêncio em descida	SILÊNCIO DESCIDA HAVER
Para o mistério, silêncio a que a hora assiste...	HORA MISTÉRIO ASSISTIR
E, perto ou longe, grande lago mudo,	PERTO OU LONGE GRANDE MUDO LAGO
O mundo, o informe mundo onde há a vida...	ONDE INFORME MUNDO MUNDO VIDA HAVER
E Deus, a Grande Ogiva ao fim de tudo...	DEUS TUDO FIM
À NOITE	NOITE
O silêncio é teu gémeo no Infinito.	SILÊNCIO GÉMEO INFINITO TEU
Quem te conhece, sabe não buscar.	QUEM TU SABER SABER CONHECER BUSCAR (NÃO)
Morte visível, vens dessedentar	VISÍVEL MORTE VIR DESSEDENTAR
O vago mundo, o mundo estreito e aflito.	MUNDO ESTREITO AFLITO MUNDO
Se os teus abismos constelados fito,	ABISMOS SE TEU CONSTELAR FITO
Não sei quem sou ou qual o fim a dar	EU NÃO_SABER OU FIM DAR {NÃO}(headshake)
A tanta dor, a tanta ânsia par	TANTO DOR TANTO ÂNSIA PAR
Do sonho, e a tanto incerto em que medito.	SONHO INCERTO TANTO MEDITAR
Que vislumbre escondido de melhores	MELHORES ESCONDER
Dias ou horas no teu campo cabe?	{DIA CABE TEU OU HORAS CAMPO}(q)
Véu nupcial do fim de fins e dores.	VÉU NUPCIAL FIM FINS MULHER DOR
Nem sei a angústia que vens consolar-me.	NEM TU VIR ANGÚSTIA EU SABER CONSOLAR
Deixa que eu durma, deixa que eu acabe	EU QUE EU DORMIR ACABAR DEIXAR DEIXAR
E que a luz nunca venha despertar-me!	LUZ EU DESPERTAR VIR
Domingo irei para as hortas na pessoa dos outros, 	DOMINGO OUTROS HORTAS PESSOA IR
Contente da minha anonimidade	CONTENTE ANONIMIDADE MEU
Domingo serei feliz — eles, eles	DOMINGO ELES FELIZ ELES
Domingo	DOMINGO
Hoje é quinta-feira da semana que não tem domingo	HOJE MULHER QUINTA FEIRA SEMANA DOMINGO NÃO_TER {NÃO}(headshake)
Nenhum domingo	NENHUM DOMINGO
Nunca domingo	DOMINGO NUNCA NÃO
Mas sempre haverá alguém nas hortas no domingo que vem	MAS SEMPRE ALGUÉM HORTAS DOMINGO HAVER VIR
Assim passa a vida, 	ASSIM VIDA ELE PASSADO
Subtil para quem sente, 	SUBTIL SENTIR
Mais ou menos para quem pensa: 	MAIS OU MENOS PENSAR
Haverá sempre alguém nas hortas ao domingo, 	SEMPRE HORTAS ALGUÉM DOMINGO HAVER
Não no nosso domingo, 	NOSSO DOMINGO (NÃO)
Não no meu domingo,	MEU DOMINGO (NÃO)
Não no domingo	DOMINGO
Mas sempre haverá outros nas hortas e ao domingo!	MAS SEMPRE OUTROS HORTAS DOMINGO HAVER
EPISÓDIOS	EPISÓDIOS
A MÚMIA	MÚMIA
Andei léguas de sombra	LÉGUAS SOMBRA EU ANDAR
Dentro em meu pensamento.	DENTRO MEU PENSAMENTO
Floresceu às avessas	ÀS AVESSAS ELE FLORESCER
Meu ócio com sem-nexo,	ÓCIO SEM NEXO MEU
E apagaram-me as lâmpadas	LÂMPADAS ELES APAGAR
Na alcova cambaleante.	CAMBALEANTE ALCOVA
Tudo prestes se volve	TUDO PRESTES VOLVER
Um deserto macio	DESERTO MACIO
Visto pelo meu tacto	TACTO MEU VER
Dos veludos da alcova,	VELUDOS ALCOVA
Não pela minha vista.	VISTA MEU ELE PELAR (NÃO)
Há um oásis no Incerto	OÁSIS INCERTO HAVER
E, como uma suspeita	COMO SUSPEITA
De luz por não-há-frinchas,	LUZ MULHER NÃO HÁ FRINCHAS
Passa uma caravana.	CARAVANA ELE PASSADO
Esquece-me de súbito	SÚBITO EU ESQUECER
Como é o espaço, e o tempo	COMO ESPAÇO TEMPO
Em vez de horizontal	HORIZONTAL
É vertical.	VERTICAL
A alcova	ALCOVA
Desce não sei por onde	POR ONDE ELE DESCER NÃO_SABER {NÃO}(headshake)
Até não me encontrar	EU ENCONTRAR AINDA_{NÃO}(headshake)
Ascende um leve fumo	FUMO LEVE ELE ASCENDER
Das minhas sensações.	MULHER SENSAÇÃO MEU
Deixo de me incluir	EU DEIXAR EU INCLUIR
Não há	HAVER (NÃO)
Cá-dentro nem lá-fora.	LÁ FORA CÁ DENTRO NEM
E o deserto está agora	AGORA DESERTO
Virado para baixo.	BAIXO VIRAR
A noção de mover-me	NOÇÃO EU MOVER
Esqueceu-se do meu nome.	NOME MEU ELE ESQUECER
Na alma meu corpo pesa-me.	ALMA CORPO MEU EU PESAR
Sinto-me um reposteiro	REPOSTEIRO EU SENTIR
Pendurado na sala	SALA PENDURAR
Onde jaz alguém morto.	ONDE JAZER ALGUÉM MATAR
Qualquer coisa caiu	COISA QUALQUER ELE CAIR
E tiniu no infinito.	INFINITO ELE TINIR
VENDAVAL	VENDAVAL
Ó vento do norte, tão fundo e tão frio, 	TÃO FUNDO Ó NORTE TÃO FRIO VENTAR
Não achas, soprando por tanta solidão,	ACHAS TANTO SOLIDÃO SOPRAR (NÃO)
Deserto, penhasco, coval mais vazio 	DESERTO PENHASCO VAZIO COVAL MAIS
Que o meu coração!	CORAÇÃO MEU
Indómita praia, que a raiva do oceano 	INDÓMITO RAIVA PRAIA OCEANO
Faz louco lugar, caverna sem fim, 	CAVERNA LOUCO LUGAR FIM FAZER
Não são tão deixados do alegre e do humano 	TÃO HUMANO ALEGRE DEIXAR (NÃO)
Como a alma que há em mim!	ALMA EU HAVER
Mas dura planície, praia atra em fereza, 	DURO PLANÍCIE ATRO PRAIA FEREZA
Só têm a tristeza que a gente lhes vê;	SÓ GENTE TRISTEZA LHES TER VER
E nisto que em mim é vácuo e tristeza 	ELE EU VÁCUO TRISTEZA
É o visto o que vê.	O VER VER
Ah, mágoa de ter consciência da vida!	MÁGOA AH CONSCIÊNCIA VIDA TER
Tu, vento do norte, teimoso, iracundo,	VENTO TU TEIMOSO IRACUNDO NORTE
Que rasgas os robles — teu pulso divida 	ROBLES PULSO TEU RASGAR DIVIDIR
alma do mundo!"", 	ALMA MUNDO
, ""Fosse pr	PR EU FOSSAR
De eu ter que pensar!	EU PENSAR
Abismo da noite, da chuva, do vento,	ABISMO NOITE CHUVA VENTO
Mar torvo do caos que parece volver —	MAR TORVO CAOS VOLVER PARECER
Porque é que não entras no meu pensamento	MEU PORQUE PENSAMENTO ENTRAR (NÃO)
Para ele morrer?	{DELE MORRER}(q)
Horror de ser sempre com vida a consciência	HORROR CONSCIÊNCIA VIDA
Horror de sentir a alma sempre a pensar	SEMPRE HORROR ALMA SENTIR PENSAR
Arranca-me, ó vento; do chão da existência, 	Ó VENTO CHÃO EXISTÊNCIA ARRANCAR
De ser um lugar!	LUGAR
E, pela alta noite que fazes mais escura,	MAIS NOITE QUE ESCURO PELAR FAZER
Pelo caos furioso que crias no mundo, 	FURIOSO CAOS MUNDO CRIAR
Dissolve em areia esta minha amargura, 	MEU ESTE AREIA AMARGURA ELE DISSOLVER
Meu tédio profundo.	TÉDIO PROFUNDO MEU
E contra as vidraças dos que há que têm lares, 	QUE VIDRAÇAS TER LARES HAVER
Telhados daqueles que têm razão,	AQUELE RAZÃO TELHAR TER
Atira, já pária desfeito dos ares,	JÁ ATIRAR PÁRIA ARES DESFAZER
O meu coração!	CORAÇÃO MEU
Meu coração triste, meu coração ermo, 	CORAÇÃO MEU TRISTE ERMO CORAÇÃO MEU
Tornado a substância dispersa e negada 	DISPERSO SUBSTÂNCIA TORNAR NEGAR
Do vento sem forma, da noite sem termo,	VENTO FORMA NOITE TERMO
Do abismo e do nada!	ABISMO NADA
Começa a haver meia-noite, e a haver sossego,	MULHER MEIA NOITE HAVER COMEÇAR SOSSEGO HAVER
Por toda a parte das coisas sobrepostas,	TODA A PARTE COISA SOBREPOR
Os andares vários da acumulação da vida...	ANDARES VIDA ACUMULAÇÃO
Calaram o piano no terceiro-andar...	PIANO TERCEIRO ANDAR ELES CALAR
Não oiço já passos no segundo-andar...	JÁ PASSOS SEGUNDO ANDAR OUVIR (NÃO)
No rés-do-chão o rádio está em silêncio...	RÁDIO RÉS DO CHÃO SILÊNCIO
Vai tudo dormir...	TUDO DORMIR
Fico sozinho com o universo inteiro	EU FICAR SÓ INTEIRO UNIVERSO
Não quero ir à janela: 	JANELA IR (NÃO)
Se eu olhar, que de estrelas	SE EU ESTRELAS OLHAR
Que grandes silêncios maiores há no alto	GRANDE MAIORES SILÊNCIOS ALTO HAVER
Que céu anticitadino	CÉU ANTICITADINO
Antes, recluso,	ANTES RECLUSO
Num desejo de não ser recluso,	DESEJO RECLUSO (NÃO)
Escuto ansiosamente os ruídos da rua...	ANSIOSO RUÍDOS RUA EU ESCUTAR
Um automóvel	AUTOMÓVEL
— demasiado rápido	RÁPIDO DEMASIADO
Os duplos passos em conversa falam-me	PASSOS DUPLOS CONVERSA EU FALAR
O som de um portão que se fecha brusco dói-me...	SOM PORTÃO BRUSCO EU DOER FECHAR
Vai tudo dormir...	TUDO DORMIR
Só eu velo, sonolentamente escutando,	SÓ EU SONOLENTO ESCUTAR VELAR
Esperando	ESPERAR
Qualquer coisa antes que durma...	ANTES COISA QUALQUER ELE DORMIR
Qualquer coisa...	QUALQUER COISA
Na sombra Cleópatra jaz morta.	DT(C-L-E-Ó-P-A-T-R-A) SOMBRA MORTO JAZER
Chove.	ELE CHOVER
Embandeiraram o barco de maneira errada.	BARCO MANEIRA ELES EMBANDEIRAR ERRAR
Chove sempre.	SEMPRE ELE CHOVER
Para que olhas tu a cidade longínqua?	{TU LONGÍNQUO CIDADE OLHAR}(q)
Tua alma é a cidade longínqua.	LONGÍNQUO CIDADE
Chove friamente.	FRIO ELE CHOVER
E quanto à mãe que embala ao colo um filho morto —	MÃE COLO FILHO EMBALAR MATAR
Todos nós embalamos ao colo um filho morto.	TODO NÓS COLO FILHO EMBALAR MATAR
Chove, chove.	ELE CHOVER CHOVER
O sorriso triste que sobra a teus lábios cansados,	SORRISO TRISTE SOBRAR TEU CANSAR
Vejo-o no gesto com que os teus dedos não deixam os teus anéis.	TEU O GESTO DEDOS ANÉIS TEU VER DEIXAR (NÃO)
Porque é que chove?	CHOVER PORQUE (NÃO)
limiar que não é meu	LIMIAR MEU (NÃO)
Sento-me e deixo o irreflectido olhar	EU SENTAR OLHAR IRREFLECTIDO DEIXAR
Encher-se, sem eu ver; de campo e céu.	ELE ENCHER EU CAMPO CÉU VER
Se é tarde ou cedo, deixo de notar.	TARDE OU CEDO NOTAR EU DEIXAR
Nada me diz de si qualquer coisa que eu	NADA QUALQUER EU COISA EU SI DIZER
Possa gozar.	GOZAR EU PODER
Pelos campos sem fim	CAMPOS FIM
Sinto correr, porque na face o sinto,	PORQUE SENTIR O FACE SENTIR CORRER
Um vago vento, estranho todo a mim.	VENTO VAGO TODO EU ESTRANHAR
Não sei se penso, ou em que dor consinto	EU PENSAR NÃO_SABER OU DOR CONSENTIR {NÃO}(headshake)
Que seja minha ou desespero sem ter fim,	MEU OU DESESPERO TER FIM
Ou se minto.	OU EU MENTIR
Na inútil hora	INÚTIL HORA
Eu, mais inútil que ela, sem sentir	MAIS EU SENTIR
Fito com um olhar que já nem chora	JÁ FITO OLHAR NEM CHORA
A Dor ou desdém, dolo ou infiel sorrir,	DESDÉM DOR INFIEL SORRIR DOLO OU
O absurdo céu onde nenhuma coisa mora	ONDE ABSURDO CÉU NENHUM COISA MORAR
Para eu fruir.	EU FRUIR
Apenas, vaga	VAGA APENAS
Não uma esperança, mas uma saudade	MAS ESPERANÇA SAUDADE (NÃO)
Do tempo em que a esperança, como vaga,	TEMPO ESPERANÇA COMO VAGA
Dava na praia da minha ansiedade,	PRAIA ANSIEDADE MEU ELE DAR
Me toma e um surdo marulhar meu ser alaga	EU TOMAR SURDO MEU ALAGAR MARULHAR
De vacuidade.	VACUIDADE
Mas acordo e com vão	MAS ACORDO ELES IR
Olhar ainda, mas já diferente,	AINDA DIFERENTE OLHAR JÁ
Por estar ausente dele o coração,	CORAÇÃO AUSENTE DELE
E eu outra vez, nem mesmo descontente,	MESMO EU DESCONTENTE OUTRA VEZ NEM
Fito o céu calmo, o campo, a alegre solidão	CALMO SOLIDÃO CÉU ALEGRE CAMPO EU FITAR
Inconsciente.	INCONSCIENTE
Nada, só o dia 	SÓ NADA DIA
— Se é tarde ou cedo continuo a errar —,	TARDE SE OU CEDO ERRAR EU CONTINUAR
Alheio a mim, a tudo dá a alegria	TUDO EU DAR ALEGRIA ALHEAR
De não ter coração com que agitar	CORAÇÃO AGITAR NÃO_TER {NÃO}(headshake)
O corpo	CORPO
E, quando vier a noite, tudo esfria	NOITE ESFRIAR TUDO VIR
